OBJECTID;NAME;ITEM_NUMBER;TYPE_STATION;CLASS_STATION;TYPE_DISTRIBUTIE;YEAR_OF_CONSTRUCTION;EIGENAAR;STATUS_KAST;POSITIONDETERMINATION;ROAD;HOUSE_NUMBER;ADDRESS;LEVERANCIER;DATE_MODIFIED;BEHEERDER_OMS;FABRIKAAT;NAAM;NADERE_ADRES_AAND;POSTCODE;TOEGANGS_AANDUIDING_TEKST;WOONPLAATS;X;Y;LONG;LAT
6445;B122;;Station;Onbekend;;;Gemeente Den Haag;In bedrijf;;;;;;2015-12-09;Gemeente Den Haag;;;;;;;83085.9470000006;454836.048999999;4.338162001160657;52.07712591621367
529;D500 Station;D500;Station;Station 10/0                                                                                                                                                                                                                                                         ,4 kV/OV;Zelfbouw;1971-07-01;Stedin;In bedrijf;;ALBARDASTRAAT;;;ENECO;2015-12-09;Stedin;ENECO;BIJ THORBECKELAAN;Openbare weg;2555;10;S GRAVENHAGE;77198.8995000012;453489.256999999;4.252607575599065;52.06422704546227
566;D643 Station;D643;Station;Station 10/0                                                                                                                                                                                                                                                         ,4 kV/OV;Zelfbouw;1969-07-01;Stedin;In bedrijf;;LOOSD HOOFDSTR;103;;ENECO;2015-12-09;Stedin;ENECO;BALLET MUZIEK STUDIO;Openbare weg;2552;10;S GRAVENHAGE;76312.8649999984;452463.671500001;4.2399250335020655;52.05488537426376
999;D149;D149;Kast;Onbekend;Onbekend;;Combi;In bedrijf;;BURG HOVYLN;109;;Onbekend;2015-12-09;Combi;Onbekend;;Achter;2552XA;;S GRAVENHAGE;76592.9305000007;452187.13450000103;4.244071146298438;52.052439938049574
246;E400 Station;E400;Station;Station 10/0                                                                                                                                                                                                                                                         ,4 kV/OV;Niet van toepassing;1923-07-01;Onbekend;In bedrijf;;ALB.  THIJMPLN;33;;Inpandig;2015-12-09;Stedin;Inpandig;SCHOOL G.L.O.;Openbare weg;2524HV;20;S GRAVENHAGE;81359.32000000031;452297.15700000204;4.3135267281365275;52.05408255214082
300;Z117;Z117;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Onbekend;1996-07-01;Gemeente Den Haag;In bedrijf;;BEYERSSTR;7;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;A&P;Openbare weg;2572BB;20;S GRAVENHAGE;79757.32600000131;453897.522500001;4.289821208326607;52.068249402500875
301;Z152;Z152;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Onbekend;1987-07-01;Gemeente Den Haag;In bedrijf;;STEYNLN;1;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;BEDRIJVENCENTRUM;Openbare weg;2571PX;10;S GRAVENHAGE;79954.32299999891;454065.701000001;4.292656850790878;52.06978749986846
307;Z114;Z114;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Niet van toepassing;2004-07-01;Gemeente Den Haag;In bedrijf;;GASLN;125;;Inpandig;2012-03-15;Gemeente Den Haag;Inpandig;;Openbare weg;2562LD;10;S GRAVENHAGE;79574.28150000049;454500.0385;4.287018913529227;52.07363914325467
308;Z104;Z104;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV;Onbekend;1932-07-01;Gemeente Den Haag;In bedrijf;;LYNBAAN;;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;BRUGSTATION;Openbare weg;2512VA;10;S GRAVENHAGE;80288.0135000013;454512.956500001;4.297425005525907;52.07385197377903
801;Z118;Z118;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;HOBBEMAPLN;69;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2526JC;;S GRAVENHAGE;80282.5;453695.4965;4.297523530497712;52.066504935285565
803;Z157;Z157;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;VD VELDESTR;45;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2525AT;;S GRAVENHAGE;80363.5670000017;453904.555500001;4.298659902420811;52.068394622395026
807;Z100;Z100;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;V MIEREVELTSTR;60;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2525EE;;S GRAVENHAGE;80505.4125000015;453681.998;4.300776870918144;52.066413648958836
809;Z102;Z102;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;BRUEGHELSTR;300;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2525RN;;S GRAVENHAGE;80721.743999999;453641.1325;4.303940192170198;52.0660754498604
837;Z109;Z109;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;PR HENDRIKSTR;30;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2518HT;;S GRAVENHAGE;80058.59549999979;455422.8715;4.293879359548565;52.08199812384367
263;A226;A226;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Onbekend;1960-07-01;Stedin;In bedrijf;;KLATTEWEG;7;;Onbekend;2018-09-17;Gemeente Den Haag;Onbekend;;Openbare weg;2597;10;S GRAVENHAGE;80669.3784999996;457642.10999999905;4.302304774043896;52.10202411391275
95085;Z257;z257;Kast;OV Kast;;2018-08-03;Gemeente Den Haag;In bedrijf;;TIMORSTR;;;;2018-09-17;Gemeente Den Haag;;;Openbare weg;2585SE;;S GRAVENHAGE;80209.62570000069;456372.8972;4.295874038261588;52.090556146175224
95087;Z232;Z232;Kast;OV Kast;;2018-05-28;Gemeente Den Haag;In bedrijf;;TENIER PLANTSOEN;;;;2018-09-17;Gemeente Den Haag;;;Openbare weg;2548ZV;;S GAVENHAGE;80934.5549999997;453934.30600000196;4.3069796644799085;52.068738623384576
254;Z519;Z519;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Zelfbouw;1953-07-01;Stedin;In bedrijf;;TIMORSTR;;;ENECO;2018-09-17;Gemeente Den Haag;ENECO;;Openbare weg;2585SE;10;S GRAVENHAGE;80208.1024999991;456370.9375;4.295852245660803;52.090538329146675
95086;Z234;Z234;Kast;OV Kast;;2018-08-02;Gemeente Den Haag;In bedrijf;;GORTMOLEN;2;;;2018-09-17;Gemeente Den Haag;;;Openbare weg;2515LL;;S GRAVENHAGE;81367.1391999982;454304.625100002;4.313207836412013;52.072124268128476
96685;D403;D403;Kast;OV Kast;;2018-02-13;Gemeente Den Haag;In bedrijf;;Molenbrink;59;;;2018-11-20;Gemeente Den Haag;;;Openbare weg;2553GM;;S GRAVENHAGE;75929.5373999998;451845.564599998;4.234480146591059;52.04927612992618
1001;D332;D332;Kast;Onbekend;Onbekend;2018-02-13;Gemeente Den Haag;In bedrijf;;DR L J ROGIERSTR;66;;Onbekend;2018-11-20;Gemeente Den Haag;Onbekend;;Achter;2552LB;;S GRAVENHAGE;76743.9415000007;451876.93899999897;4.2463434303115735;52.049673669612034
864;Z160;Z160;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;H COSTERSTR;140;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2571PC;;S GRAVENHAGE;80072.1105000004;453943.32649999904;4.294401351107015;52.06870369944711
220;Z218;Z218;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Niet van toepassing;1968-07-01;Gemeente Den Haag;In bedrijf;;OLIENBERG;1;;Inpandig;2012-03-15;Gemeente Den Haag;Inpandig;T/O 1;Openbare weg;2512ET;10;S GRAVENHAGE;80626.504999999;454388.78249999904;4.3023885860508875;52.07278161244702
221;Z208;Z208;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Zelfbouw;1967-07-01;Gemeente Den Haag;In bedrijf;;HUYGENSPK;30;;ENECO;2012-03-15;Gemeente Den Haag;ENECO;T/O 30;Openbare weg;2515BA;10;S GRAVENHAGE;81825.3839999996;454456.243000001;4.319858091737054;52.07354755574969
222;Z222;Z222;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Niet van toepassing;1983-07-01;Gemeente Den Haag;In bedrijf;;NW MOLSTR;;;Inpandig;2012-03-15;Gemeente Den Haag;Inpandig;NAAST 200. FLAT;Openbare weg;2512DD;20;S GRAVENHAGE;81314.8125;454483.7925;4.312406055767535;52.07372744457627
223;Z220;Z220;Station;Station 10/0                                                                                                                                                                                                                                                                 ,4 kV/OV;Niet van toepassing;1968-07-01;Gemeente Den Haag;In bedrijf;;BROUWERSGR;2;;Inpandig;2012-03-15;Gemeente Den Haag;Inpandig;ACHTER 2. HARRY HOUWAART;Openbare weg;2512ER;10;S GRAVENHAGE;80868.9184999987;454495.02;4.305900760063005;52.07376884089692
735;Z294;Z294;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;MAANWG;68;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2516AA;;S GRAVENHAGE;83660.7039999999;453381.754500002;4.346848843927329;52.06413072953431
739;Z291;Z291;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;MELKWEGSTR;16;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2516AJ;;S GRAVENHAGE;83631.9160000011;453788.66000000003;4.346344033665067;52.06778382239296
740;Z287;Z287;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;BINCKHORSTLN;176;;Onbekend;2012-03-15;Gemeente Den Haag;Onbekend;;Achter;2516BG;;S GRAVENHAGE;83032.6185000017;453941.625999998;4.337572801430613;52.0690809664751
368;D1604 Station;D1604;Station;Station 10/0                                                                                                                                                                                                                                                       ,4 kV/OV;Zelfbouw;1970-07-01;Stedin;In bedrijf;;KAMPERFOELIESTR;;;ENECO;2015-12-09;Stedin;ENECO;T.O. INDIGOSTR;Openbare weg;2563KA;10;S GRAVENHAGE;78355.7424999997;453849.951000001;4.269394082994063;52.067629738482765
98926;D328;D328;Kast;OV Kast;;2018-10-15;Gemeente Den Haag;In bedrijf;;J RADECKERKD;5;;;2018-12-04;Gemeente Den Haag;;;Openbare weg;2552WP;;S GRAVENHAGE;76803.5201000013;452579.8134;4.2470509632497535;52.05599855288682
